 

stn;time;rka150d0
CRM;20160306;0.5
CRM;20160307;1.8
CRM;20160308;0.0
CRM;20160309;0.0
CRM;20160310;0.0
CRM;20160311;0.0
CRM;20160312;0.0
CRM;20160313;0.0
CRM;20160314;0.0
CRM;20160315;0.0
CRM;20160316;0.2
CRM;20160317;0.0
CRM;20160318;0.0
CRM;20160319;0.0
CRM;20160320;0.0
CRM;20160321;0.0
CRM;20160322;0.0
CRM;20160323;0.0
CRM;20160324;0.0
CRM;20160325;0.7
CRM;20160326;0.3
CRM;20160327;0.4
CRM;20160328;0.8
CRM;20160329;0.6
CRM;20160330;0.0
CRM;20160331;0.0
CRM;20160401;0.0
CRM;20160402;0.0
CRM;20160403;0.0
CRM;20160404;0.0
CRM;20160405;11.6
CRM;20160406;2.0
CRM;20160407;0.0
CRM;20160408;0.8
CRM;20160409;0.3
CRM;20160410;0.0
CRM;20160411;0.0
CRM;20160412;3.3
CRM;20160413;26.0
CRM;20160414;3.5
CRM;20160415;5.2
CRM;20160416;14.3
CRM;20160417;16.3
CRM;20160418;8.7
CRM;20160419;0.0
CRM;20160420;0.0
CRM;20160421;0.0
CRM;20160422;6.4
CRM;20160423;4.1
CRM;20160424;0.5
CRM;20160425;0.0
CRM;20160426;0.8
CRM;20160427;0.0
CRM;20160428;0.0
CRM;20160429;0.0
CRM;20160430;5.1
CRM;20160501;5.0
CRM;20160502;0.1
CRM;20160503;0.0
CRM;20160504;0.0
CRM;20160505;0.0
CRM;20160506;0.0
CRM;20160507;0.0
CRM;20160508;0.0
CRM;20160509;0.0
CRM;20160510;0.0
CRM;20160511;1.5
CRM;20160512;24.8
CRM;20160513;13.1
CRM;20160514;0.6
CRM;20160515;0.0
CRM;20160516;0.0
CRM;20160517;0.0
CRM;20160518;7.6
CRM;20160519;8.9
CRM;20160520;0.0
CRM;20160521;0.0
CRM;20160522;6.3
CRM;20160523;22.7
CRM;20160524;0.4
CRM;20160525;0.0
CRM;20160526;0.0
CRM;20160527;5.8
CRM;20160528;19.6
CRM;20160529;12.3
CRM;20160530;2.6
CRM;20160531;3.4
CRM;20160601;0.0
CRM;20160602;11.9
CRM;20160603;2.1
CRM;20160604;2.6
CRM;20160605;0.0
CRM;20160606;0.0
CRM;20160607;0.0
CRM;20160608;21.4
CRM;20160609;3.4
CRM;20160610;0.6
CRM;20160611;15.7
CRM;20160612;1.5
CRM;20160613;17.8
CRM;20160614;5.8
CRM;20160615;5.2
CRM;20160616;22.3
CRM;20160617;9.3
CRM;20160618;1.5
CRM;20160619;3.3
CRM;20160620;0.1
CRM;20160621;0.7
CRM;20160622;0.0
CRM;20160623;0.0
CRM;20160624;1.1
CRM;20160625;9.5
CRM;20160626;0.0
CRM;20160627;0.0
CRM;20160628;0.0
CRM;20160629;2.1
CRM;20160630;0.6
CRM;20160701;0.0
CRM;20160702;0.7
CRM;20160703;0.0
CRM;20160704;0.0
CRM;20160705;4.8
CRM;20160706;0.0
CRM;20160707;0.0
CRM;20160708;0.0
CRM;20160709;0.0
CRM;20160710;0.0
CRM;20160711;11.3
CRM;20160712;13.6
CRM;20160713;0.2
CRM;20160714;1.6
CRM;20160715;0.1
CRM;20160716;0.0
CRM;20160717;0.0
CRM;20160718;0.0
CRM;20160719;0.0
CRM;20160720;0.0
CRM;20160721;2.4
CRM;20160722;3.7
CRM;20160723;4.9
CRM;20160724;0.0
CRM;20160725;0.0
CRM;20160726;0.0
CRM;20160727;0.7
CRM;20160728;0.0
CRM;20160729;0.0
CRM;20160730;0.1
CRM;20160731;1.2
CRM;20160801;0.0
CRM;20160802;0.0
CRM;20160803;0.0
CRM;20160804;9.2
CRM;20160805;1.7
CRM;20160806;0.0
CRM;20160807;0.0
CRM;20160808;0.0
CRM;20160809;0.4
CRM;20160810;0.0
CRM;20160811;0.0
CRM;20160812;0.0
CRM;20160813;0.0
CRM;20160814;0.0
CRM;20160815;0.0
CRM;20160816;0.0
CRM;20160817;9.0
CRM;20160818;3.7
CRM;20160819;0.0
CRM;20160820;5.9
CRM;20160821;1.3
CRM;20160822;0.0
CRM;20160823;0.0
CRM;20160824;0.0
CRM;20160825;0.0
CRM;20160826;0.0
CRM;20160827;0.0
CRM;20160828;0.0
CRM;20160829;0.1
CRM;20160830;0.0
CRM;20160831;1.8
CRM;20160901;0.0
CRM;20160902;0.0
CRM;20160903;0.0
CRM;20160904;8.5
CRM;20160905;14.7
CRM;20160906;-
CRM;20160907;0.0
CRM;20160908;0.0
CRM;20160909;0.0
CRM;20160910;1.1
CRM;20160911;0.0
CRM;20160912;0.0
CRM;20160913;0.0
CRM;20160914;0.0
CRM;20160915;0.8
CRM;20160916;2.9
CRM;20160917;12.7
CRM;20160918;13.1
CRM;20160919;0.4
CRM;20160920;0.0
CRM;20160921;0.0
CRM;20160922;0.0
CRM;20160923;0.0
CRM;20160924;0.0
CRM;20160925;0.0
CRM;20160926;0.0
CRM;20160927;0.0
CRM;20160928;0.0
CRM;20160929;0.0
CRM;20160930;0.0
CRM;20161001;4.2
CRM;20161002;2.1
CRM;20161003;0.0
CRM;20161004;0.0
CRM;20161005;0.0
CRM;20161006;0.0
CRM;20161007;0.0
CRM;20161008;0.1
CRM;20161009;1.1
CRM;20161010;0.0
CRM;20161011;0.0
CRM;20161012;0.0
CRM;20161013;6.7
CRM;20161014;1.3
CRM;20161015;0.0
CRM;20161016;0.0
CRM;20161017;5.6
CRM;20161018;2.0
CRM;20161019;0.0
CRM;20161020;0.0
CRM;20161021;1.1
CRM;20161022;0.0
CRM;20161023;3.3
CRM;20161024;5.4
CRM;20161025;35.6
CRM;20161026;14.0
CRM;20161027;0.0
CRM;20161028;0.0
CRM;20161029;0.0
CRM;20161030;0.0
CRM;20161031;0.0
CRM;20161101;0.0
CRM;20161102;0.0
CRM;20161103;0.0
CRM;20161104;0.5
CRM;20161105;24.1
CRM;20161106;0.4
CRM;20161107;2.1
CRM;20161108;0.7
CRM;20161109;15.0
CRM;20161110;15.1
CRM;20161111;18.3
CRM;20161112;0.0
CRM;20161113;4.0
CRM;20161114;0.0
CRM;20161115;0.0
CRM;20161116;0.0
CRM;20161117;0.4
CRM;20161118;14.4
CRM;20161119;20.3
CRM;20161120;0.0
CRM;20161121;0.0
CRM;20161122;0.0
CRM;20161123;0.0
CRM;20161124;0.0
CRM;20161125;0.0
CRM;20161126;0.0
CRM;20161127;0.0
CRM;20161128;0.0
CRM;20161129;0.0
CRM;20161130;0.0
CRM;20161201;0.0
CRM;20161202;0.0
CRM;20161203;0.0
CRM;20161204;0.0
CRM;20161205;0.0
CRM;20161206;0.0
CRM;20161207;0.0
CRM;20161208;0.0
CRM;20161209;0.0
CRM;20161210;0.0
CRM;20161211;0.0
CRM;20161212;0.0
CRM;20161213;0.0
CRM;20161214;0.0
CRM;20161215;0.0
CRM;20161216;0.0
CRM;20161217;0.0
CRM;20161218;0.0
CRM;20161219;0.2
CRM;20161220;0.0
CRM;20161221;0.0
CRM;20161222;0.0
CRM;20161223;0.0
CRM;20161224;0.0
CRM;20161225;0.0
CRM;20161226;0.0
CRM;20161227;0.0
CRM;20161228;0.0
CRM;20161229;0.0
CRM;20161230;0.0
CRM;20161231;0.0

stn;time;rka150d0
NEU;20140101;0.4
NEU;20140102;12.3
NEU;20140103;3.0
NEU;20140104;24.3
NEU;20140105;1.0
NEU;20140106;0.0
NEU;20140107;0.0
NEU;20140108;0.0
NEU;20140109;0.0
NEU;20140110;0.0
NEU;20140111;0.0
NEU;20140112;0.0
NEU;20140113;3.5
NEU;20140114;1.4
NEU;20140115;0.4
NEU;20140116;26.1
NEU;20140117;3.7
NEU;20140118;0.0
NEU;20140119;0.0
NEU;20140120;0.0
NEU;20140121;0.1
NEU;20140122;0.0
NEU;20140123;2.3
NEU;20140124;3.1
NEU;20140125;0.0
NEU;20140126;2.0
NEU;20140127;6.1
NEU;20140128;0.0
NEU;20140129;0.0
NEU;20140130;0.0
NEU;20140131;0.0
NEU;20140201;5.1
NEU;20140202;1.4
NEU;20140203;0.0
NEU;20140204;0.4
NEU;20140205;5.3
NEU;20140206;0.0
NEU;20140207;19.1
NEU;20140208;7.3
