 

stn;time;tre200d0;qtre200d0;mtre200d0
CRM;20151203;2.1;0;0
CRM;20151204;4.1;0;0
CRM;20151205;4.1;0;0
CRM;20151206;5.9;0;0
CRM;20151207;4.8;0;0
CRM;20151208;4.6;0;0
CRM;20151209;6.4;0;0
CRM;20151210;1.8;0;0
CRM;20151211;1.4;0;0
CRM;20151212;1.4;0;0
CRM;20151213;1.6;0;0
CRM;20151214;1.1;0;0
CRM;20151215;2.4;0;-8
CRM;20151216;6.3;0;0
CRM;20151217;4.5;0;0
CRM;20151218;5.2;0;0
CRM;20151219;4.8;0;0
CRM;20151220;4.9;0;-1
CRM;20151221;7.3;0;0
CRM;20151222;7.2;0;0
CRM;20151223;5.6;0;0
CRM;20151224;3.8;0;0
CRM;20151225;2.9;0;0
CRM;20151226;1.8;0;0
CRM;20151227;1.8;0;-1
CRM;20151228;1.4;0;0
CRM;20151229;2.4;0;0
CRM;20151230;3.7;0;0
CRM;20151231;5.3;0;0
CRM;20160101;5.3;0;0
CRM;20160102;5.3;0;0
CRM;20160103;4.7;0;0
CRM;20160104;5.8;0;0
CRM;20160105;5.9;0;0
CRM;20160106;5.1;0;0
CRM;20160107;5.1;0;0
CRM;20160108;4.7;0;0
CRM;20160109;5.3;0;0
CRM;20160110;5.9;0;0
CRM;20160111;6.2;0;0
CRM;20160112;4.7;0;0
CRM;20160113;2.8;0;0
CRM;20160114;0.1;0;0
CRM;20160115;1.5;0;0
CRM;20160116;0.4;0;0
CRM;20160117;-1.7;0;0
CRM;20160118;-5.1;0;0
CRM;20160119;-2.0;0;0
CRM;20160120;1.2;0;0
CRM;20160121;1.1;0;0
CRM;20160122;0.7;0;0
CRM;20160123;4.3;0;0
CRM;20160124;1.6;0;0
CRM;20160125;1.5;0;0
CRM;20160126;2.3;0;0
CRM;20160127;2.7;0;0
CRM;20160128;6.7;0;0
CRM;20160129;7.6;0;0
CRM;20160130;6.1;0;0
CRM;20160131;8.7;0;0
CRM;20160201;10.5;0;0
CRM;20160202;8.5;0;0
CRM;20160203;5.5;0;0
CRM;20160204;3.4;0;0
CRM;20160205;5.6;0;0
CRM;20160206;2.8;0;0
CRM;20160207;3.4;0;0
CRM;20160208;7.1;0;0
CRM;20160209;7.7;0;0
CRM;20160210;2.7;0;0
CRM;20160211;2.4;0;0
CRM;20160212;1.9;0;0
CRM;20160213;5.5;0;0
CRM;20160214;5.3;0;0
CRM;20160215;2.9;0;0
CRM;20160216;2.9;0;0
CRM;20160217;3.1;0;0
CRM;20160218;4.3;0;0
CRM;20160219;3.2;0;0
CRM;20160220;3.4;0;0
CRM;20160221;10.2;0;0
CRM;20160222;10.3;0;0
